00	0
01	0
02	0
03	0
04	0
05	0
06	0
07	0
08	0
09	35114
0a	42414
0b	0
0c	0
0d	0
0e	0
0f	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
1a	0
1b	0
1c	0
1d	0
1e	0
1f	0
20	728826
21	2159
22	12021
23	0
24	0
25	0
26	0
27	56024
28	392
29	392
2a	0
2b	0
2c	53636
2d	1249
2e	34625
2f	21
30	3132
31	16284
32	11477
33	7346
34	5317
35	4385
36	3920
37	3638
38	3415
39	3255
3a	10884
3b	8199
3c	0
3d	0
3e	0
3f	3222
40	7
41	8000
42	2330
43	5528
44	8487
45	6406
46	1915
47	7994
48	598
49	9618
4a	7
4b	356
4c	2835
4d	5064
4e	3503
4f	1679
50	4763
51	2299
52	1658
53	14857
54	2434
55	745
56	1254
57	1
58	4
59	0
5a	662
5b	35554
5c	0
5d	35554
5e	0
5f	0
60	0
61	366687
62	26818
63	139220
64	131326
65	410025
66	37591
67	71918
68	38776
69	389985
6a	2
6b	746
6c	220705
6d	82289
6e	230770
6f	355822
70	85135
71	15145
72	231437
73	171928
74	201715
75	111993
76	58768
77	18
78	3
79	1
7a	22143
7b	0
7c	0
7d	1
7e	0
7f	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
8a	0
8b	0
8c	0
8d	0
8e	0
8f	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
9a	0
9b	0
9c	0
9d	0
9e	0
9f	0
a0	0
a1	0
a2	0
a3	0
a4	0
a5	0
a6	0
a7	0
a8	0
a9	0
aa	0
ab	0
ac	0
ad	0
ae	0
af	0
b0	0
b1	0
b2	0
b3	0
b4	0
b5	0
b6	0
b7	0
b8	0
b9	0
ba	0
bb	0
bc	0
bd	11193
be	0
bf	11193
c0	0
c1	0
c2	0
c3	0
c4	0
c5	0
c6	0
c7	0
c8	0
c9	0
ca	0
cb	0
cc	0
cd	0
ce	0
cf	0
d0	0
d1	0
d2	0
d3	0
d4	0
d5	0
d6	0
d7	0
d8	0
d9	0
da	0
db	0
dc	0
dd	0
de	0
df	0
e0	0
e1	0
e2	0
e3	0
e4	0
e5	0
e6	0
e7	0
e8	0
e9	0
ea	0
eb	0
ec	0
ed	0
ee	0
ef	11193
f0	0
f1	0
f2	0
f3	0
f4	0
f5	0
f6	0
f7	0
f8	0
f9	0
fa	0
fb	0
fc	0
fd	0
fe	0
ff	0
